 Name                 Version   License                                            
 Jinja2               3.0.3     BSD License
 MarkupSafe           2.0.1     BSD License                                        
 Pillow               9.0.1     Historical Permission Notice and Disclaimer (HPND) 
 PyYAML               5.4.1     MIT License                                        
 Pygments             2.11.2    BSD License                                        
 StringDist           1.0.9     MIT License                                        
 appnope              0.1.2     BSD License                                        
 asttokens            2.0.5     Apache 2.0                                         
 attrs                21.4.0    MIT License                                        
 backcall             0.2.0     BSD License                                        
 black                22.1.0    MIT License                                        
 click                8.0.3     BSD License                                        
 cloudpickle          2.0.0     BSD License                                        
 cvxopt               1.2.7     GNU General Public License v3 (GPLv3)              
 cycler               0.11.0    BSD License                                        
 decorator            5.1.1     BSD License                                        
 deprecation          2.1.0     Apache Software License                            
 executing            0.8.2     MIT License                                        
 future               0.18.2    MIT License                                        
 graphviz             0.19.1    MIT License                                        
 hyperopt             0.2.7     BSD License                                        
 iniconfig            1.1.1     MIT License                                        
 intervaltree         3.1.0     Apache Software License                            
 ipython              8.0.1     BSD License                                        
 jedi                 0.18.1    MIT License                                        
 jellyfish            0.8.9     BSD License                                        
 jsonpickle           2.1.0     BSD License                                        
 kiwisolver           1.3.2     BSD License                                        
 lxml                 4.7.1     BSD License                                        
 matplotlib           3.4.3     Python Software Foundation License                 
 matplotlib-inline    0.1.3     BSD 3-Clause                                       
 mpmath               1.2.1     BSD License                                        
 mypy-extensions      0.4.3     MIT License                                        
 networkx             2.6.3     BSD License                                        
 numpy                1.22.2    BSD License                                        
 opyenxes             0.3.0     GNU General Public License v3 (GPLv3)              
 packaging            21.3      Apache Software License; BSD License               
 pandas               1.2.5     BSD                                                
 parso                0.8.3     MIT License                                        
 pathspec             0.9.0     Mozilla Public License 2.0 (MPL 2.0)               
 pexpect              4.8.0     ISC License (ISCL)                                 
 pickleshare          0.7.5     MIT License                                        
 platformdirs         2.5.0     MIT License                                        
 pluggy               1.0.0     MIT License                                        
 pm4py                2.2.19.1  GPL 3.0                                            
 prompt-toolkit       3.0.28    BSD License                                        
 ptyprocess           0.7.0     ISC License (ISCL)                                 
 pure-eval            0.2.2     MIT License                                        
 py                   1.11.0    MIT License                                        
 py4j                 0.10.9.3  BSD License                                        
 pydotplus            2.0.2     MIT License                                        
 pyparsing            3.0.7     MIT License                                        
 pytest               6.2.5     MIT License                                        
 python-dateutil      2.8.2     Apache Software License; BSD License               
 pytz                 2021.3    MIT License                                        
 pyvis                0.1.9     BSD                                                
 scipy                1.7.3     BSD License                                        
 simpy                4.0.1     MIT License                                        
 six                  1.16.0    MIT License                                        
 sortedcontainers     2.4.0     Apache Software License                            
 stack-data           0.2.0     MIT License                                        
 sympy                1.9       BSD License                                        
 toml                 0.10.2    MIT License                                        
 tomli                2.0.1     MIT License                                        
 tqdm                 4.61.2    MIT License; Mozilla Public License 2.0 (MPL 2.0)  
 traitlets            5.1.1     BSD License                                        
 typing-extensions    4.1.1     Python Software Foundation License                 
 wcwidth              0.2.5     MIT License                                        
 xmltodict            0.12.0    MIT License                                        
